target,source,value
4 stars,A-Sha Dry Noodle,4
4 stars,A-Sha Dry Noodle,5
4 stars,A-Sha Dry Noodle,5
5 stars,A-Sha Dry Noodle,6
4 stars,Acecook,5
4 stars,Annie Chun's,4
3 stars,Asian Thai Foods,6
3 stars,Batchelors,4
Mr. Noodles,Canada,4
5 stars,CarJEN,6
Dragonfly,China,4
Dragonfly,China,4
Golden Wheat,China,6
JML,China,19
Master Kong,China,6
Master Kong,China,4
Master Kong,China,8
5 stars,Deshome,5
4 stars,Dragonfly,4
4 stars,Dragonfly,4
Nissin,Germany,4
Nissin,Germany,5
Nissin,Germany,7
3 stars,Golden Wheat,6
Nissin,Hong Kong,9
Nissin,Hong Kong,12
Nissin,Hong Kong,14
Nissin,Hong Kong,5
Nissin,Hong Kong,5
Nissin,Hong Kong,4
Nissin,Hong Kong,18
Maggi,India,4
Maggi,India,6
3 stars,Indomie,4
4 stars,Indomie,6
4 stars,Indomie,6
4 stars,Indomie,6
5 stars,Indomie,16
Indomie,Indonesia,38
SuperMi,Indonesia,5
Acecook,Japan,5
Maruchan,Japan,5
Maruchan,Japan,4
Maruchan,Japan,4
Maruchan,Japan,4
Myojo,Japan,5
Myojo,Japan,4
Myojo,Japan,9
Myojo,Japan,7
Myojo,Japan,6
Myojo,Japan,6
Nissin,Japan,4
Nissin,Japan,5
Nissin,Japan,12
Nissin,Japan,10
Nissin,Japan,15
Nissin,Japan,6
Nissin,Japan,13
Nissin,Japan,9
Nissin,Japan,40
Sakurai Foods,Japan,4
Sapporo Ichiban,Japan,4
Takamori Kosan,Japan,4
3 stars,JML,4
4 stars,JML,5
4 stars,JML,5
5 stars,JML,5
3 stars,KOKA,6
4 stars,KOKA,4
5 stars,KOKA,12
3 stars,Lucky Me!,5
3 stars,Lucky Me!,4
4 stars,Lucky Me!,8
4 stars,Lucky Me!,5
3 stars,Maggi,4
4 stars,Maggi,6
4 stars,Maggi,4
CarJEN,Malaysia,6
Maggi,Malaysia,4
Mamee,Malaysia,4
Mamee,Malaysia,7
Mamee,Malaysia,8
MyKuali,Malaysia,22
MyOri,Malaysia,5
Vit's,Malaysia,5
3 stars,Mama,4
3 stars,Mama,11
3 stars,MAMA,6
4 stars,Mama,8
4 stars,Mama,6
5 stars,Mama,11
3 stars,Mamee,4
4 stars,Mamee,7
5 stars,Mamee,8
2 stars,Maruchan,5
3 stars,Maruchan,6
3 stars,Maruchan,6
3 stars,Maruchan,4
3 stars,Maruchan,7
4 stars,Maruchan,10
4 stars,Maruchan,5
4 stars,Maruchan,4
4 stars,Maruchan,8
4 stars,Maruchan,4
5 stars,Maruchan,4
5 stars,Maruchan,4
4 stars,Master Kong,6
4 stars,Master Kong,4
4 stars,Master Kong,8
3 stars,Mee Jang,4
Nissin,Mexico,6
Nissin,Mexico,6
5 stars,Mom's Dry Noodle,5
2 stars,Mr. Noodles,4
5 stars,MyKuali,22
3 stars,Myojo,5
3 stars,Myojo,4
4 stars,Myojo,9
4 stars,Myojo,7
4 stars,Myojo,6
4 stars,Myojo,6
5 stars,MyOri,5
Asian Thai Foods,Nepal,6
3 stars,Nissin,4
3 stars,Nissin,4
3 stars,Nissin,4
3 stars,Nissin,5
3 stars,Nissin,8
3 stars,Nissin,9
3 stars,Nissin,12
3 stars,Nissin,28
3 stars,Nissin,5
3 stars,Nissin,5
3 stars,Nissin,5
3 stars,Nissin,6
3 stars,Nissin,9
4 stars,Nissin,10
4 stars,Nissin,12
4 stars,Nissin,12
4 stars,Nissin,6
4 stars,Nissin,6
4 stars,Nissin,7
4 stars,Nissin,14
4 stars,Nissin,15
4 stars,Nissin,8
4 stars,Nissin,9
4 stars,Nissin,5
4 stars,Nissin,6
4 stars,Nissin,13
4 stars,Nissin,5
4 stars,Nissin,6
4 stars,Nissin,4
4 stars,Nissin,9
5 stars,Nissin,18
5 stars,Nissin,4
5 stars,Nissin,40
5 stars,Nissin,9
3 stars,Nongshim,4
3 stars,Nongshim,8
4 stars,Nongshim,5
4 stars,Nongshim,6
4 stars,Nongshim,12
4 stars,Nongshim,7
4 stars,Nongshim,7
4 stars,Nongshim,6
5 stars,Nongshim,10
5 stars,Nongshim,9
3 stars,Ottogi,5
3 stars,Ottogi,9
4 stars,Ottogi,6
4 stars,Ottogi,4
4 stars,Ottogi,4
3 stars,Paldo,11
4 stars,Paldo,13
4 stars,Paldo,9
4 stars,Paldo,4
4 stars,Paldo,4
5 stars,Paldo,15
Lucky Me!,Philippines,5
Lucky Me!,Philippines,4
Lucky Me!,Philippines,8
Lucky Me!,Philippines,5
5 stars,Prima,4
5 stars,Prima Taste,7
4 stars,Sakurai Foods,4
4 stars,Samyang,5
3 stars,Samyang Foods,5
4 stars,Samyang Foods,15
4 stars,Samyang Foods,12
4 stars,Samyang Foods,6
4 stars,Samyang Foods,6
5 stars,Samyang Foods,9
3 stars,Sapporo Ichiban,4
5 stars,Sapporo Ichiban,4
KOKA,Singapore,22
Nissin,Singapore,5
Nissin,Singapore,6
Nissin,Singapore,8
Nissin,Singapore,9
Prima,Singapore,4
Prima Taste,Singapore,7
Nongshim,South Korea,8
Nongshim,South Korea,6
Nongshim,South Korea,12
Nongshim,South Korea,7
Nongshim,South Korea,6
Nongshim,South Korea,10
Ottogi,South Korea,5
Ottogi,South Korea,9
Ottogi,South Korea,6
Ottogi,South Korea,4
Ottogi,South Korea,4
Paldo,South Korea,11
Paldo,South Korea,13
Paldo,South Korea,9
Paldo,South Korea,4
Paldo,South Korea,4
Paldo,South Korea,15
Samyang,South Korea,5
Samyang Foods,South Korea,5
Samyang Foods,South Korea,15
Samyang Foods,South Korea,12
Samyang Foods,South Korea,6
Samyang Foods,South Korea,6
Samyang Foods,South Korea,9
4 stars,SuperMi,5
A-Sha Dry Noodle,Taiwan,4
A-Sha Dry Noodle,Taiwan,5
A-Sha Dry Noodle,Taiwan,5
A-Sha Dry Noodle,Taiwan,6
Deshome,Taiwan,5
Mom's Dry Noodle,Taiwan,5
Tseng Noodles,Taiwan,5
Uni-President,Taiwan,5
Ve Wong,Taiwan,6
Wei Lih,Taiwan,4
Wei Lih,Taiwan,4
4 stars,Takamori Kosan,4
Mama,Thailand,4
Mama,Thailand,11
MAMA,Thailand,6
Mama,Thailand,8
Mama,Thailand,6
Mama,Thailand,11
Mee Jang,Thailand,4
Nissin,Thailand,5
Wai Wai,Thailand,5
Yum Yum,Thailand,4
5 stars,Tseng Noodles,5
Batchelors,UK,4
5 stars,Uni-President,5
Annie Chun's,United States,4
Maruchan,United States,5
Maruchan,United States,6
Maruchan,United States,6
Maruchan,United States,4
Maruchan,United States,7
Maruchan,United States,10
Maruchan,United States,8
Maruchan,United States,4
Nissin,United States,4
Nissin,United States,8
Nissin,United States,9
Nissin,United States,28
Nissin,United States,12
Nissin,United States,9
Nissin,United States,6
Nissin,United States,4
Nongshim,United States,4
Nongshim,United States,5
Nongshim,United States,7
Nongshim,United States,9
Sapporo Ichiban,United States,4
Yamachan,United States,4
4 stars,Ve Wong,6
Vifon,Vietnam,4
Vifon,Vietnam,6
Vifon,Vietnam,6
Vina Acecook,Vietnam,5
Vina Acecook,Vietnam,7
Vina Acecook,Vietnam,8
Vina Acecook,Vietnam,5
3 stars,Vifon,4
3 stars,Vifon,6
4 stars,Vifon,6
3 stars,Vina Acecook,5
3 stars,Vina Acecook,7
4 stars,Vina Acecook,8
4 stars,Vina Acecook,5
5 stars,Vit's,5
3 stars,Wai Wai,5
4 stars,Wei Lih,4
5 stars,Wei Lih,4
5 stars,Yamachan,4
3 stars,Yum Yum,4
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,